id,tweet,class
746007323479576576,عاجل | مصادر عراقية: 20 قتيلا بينهم قائد للحشد العشائري في هجوم لتنظيم الدولة بالأنبار,1
569488484957855745,"RT @Iraq_now2: نحو٣٠٠عنصر من عصابات""حزب الله""اللبناني يتواجدون في #العراق لدعم العصابات الشيعية.
https://t.co/m6olU9lswP http://t.co/eqXa7UQzV1",1
664157183135870976,@DroopDelaCreme you knowwwwwww,1
561386715349536768,"@_AbDwd2 bro, I really wish twitter would delete retards like this rather than Dawlah supporters...Guy needs a bullet http://t.co/om2359dSB0",1
553368348361490432,"When a coconut gets asked if he supports ISIS looool
https://t.co/zO7ZfIgusH",1
560899998066675712,Ninova Vilayetinde Zekat mallarından olan Develerin toplanması.http://t.co/cEEVGREQ5K,1
718657625848721409,"🔖 قال #سيدي_رسول_الله ﷺ :

""أحب الأعمال إلى الله ﷻ
سرور تدخله على مسلم
أو تكشف عنه كربة
أو تقضي عنه دينا
أو تطرد عنه جوعا"".

#صباحيات 💙💚❤️",1
560727258563117056,"Kurds ""took"" kobane ,America flattened it through airstrikes and now it's all rubble good work Kurds LMAO.5 months of air strikes on land",1
711041920240324608,Vroom vroom vroom vroom vroom how the hell does a plane go in circles what's the noise ..... Bang boom! Fireworks! 🎉 https://t.co/Vrf4vgv279,1
712258627852230656,These two guys @destroythebook and @PHISHING29 are incredibly good and consistent.,1
710490156248264714,"@doaa63784383 هي الصورة الذهنية الايجابية التي ننظر الى الاحداث بها، في الحديث""عجبا لامر المؤمن ان امره كله له خير""
بهذه النفسية تفسر الامور",1
563073820362551296,"Powerful vid, who's the first speaker??

https://t.co/asu5yNbySH",1
712932811536211968,RT @azadaliCCM: The product of neocon lies arrested for inciting hatred https://t.co/8ySXmbGvW1 tbh likes of @HJS_Org r more culpable @5Pillarsuk @Majstar7,1
564443227844247552,"RT @SaudiMendas3: #السعودية_لا_تحارب_بشار
هل تعلم أن طائرات ال سعود وطائرات بشار تقصف نفس المدينة؟! #الرقة !!",1
553160290708094976,@sb3_1 @time_machine_1 كلهم متشابهون عين واحده باختلاف المسميات,1
712711148999675904,"@JejMdm @ah156m @CTUUD 
بلغوا وحفّرت حكومتهم بيدينها ورجلينها ودفعت الملايين لكن ما في يد العبد حيله (:",1
665165564122415105,"RT @anbaria_ansaria: ""@serrver_9: بسم الله ابدأ حسابي التاسع
ابواليمان الزرقاوي
توثيق الحساب الثامن https://t.co/qtfj2KvQ9C""
اكرمو أخونا جزاكم الله خيرا",1
564502237670830080,@polemicablog @mohammed142857 or if necessary to divorce,1
556160668639195136,@al_jozelhind1 @BintMath thanku for the screenshot. I just intended to piss off kuffaar thats all...:),1
553744523839700992,"Keep Tuhin, Mustakeem and Abu Nusaybah in your Ad'iyah, including all the other muslim prisoners, May Allaah hasten their release. Ameen",1
564323128818798593,"RT @uygaraktas: In Ramadi, two Sunnis,driving a car that had license plates from Saudi Arabia  were executed by shiite militants after being stopped at a CP",1
747155572819173376,@ahmedsaadir we have videos of shia slicing civilians like kebabs over fires. I call bullshit.,1
555203032976089088,RT @dralmnbt7: إصدار جديد أنصح بمشاهدته من إنتاج مجموعة الباحوثات نايف بن خالد التشبيحيه اسم المسلسل خوارج الغرب فرنسا !!!!!!!!!!!!! http://t.co/qM5dVNbntA,1
555403327207268352,@Areeeej1991 @hema_ana_99 @alinaad55 @shaybaali2 مزمز في حذاء المؤسس لحين انتهي من حديثي مع الارهابيين http://t.co/W8rGxb3skA,1
753761444546523136,They are all dog... https://t.co/fGp5l2IJ0N,1
555061416491626496,"RT @aslan6s: “@EbuAtilla: Şeyh Adnani HAFİZEHULLAH Duası 

https://t.co/i1Gr606Czy http://t.co/tiVmjbbFua”",1
709116314149847040,"RT @Longshot_Scott: Nearly 6,000 followers... You can do better than this. RT the ABOVE tweet!

I'll be disappointed in every single one of you who doesn't. 😘",1
665899071287070720,@_alifpasai12 jazak allah khayr,1
553265739227205632,Attack on Nubl & Zahraa is intensifying #Dua,1
710936847069872129,"إذا لاحت لهم سُوُد المنايـــا
تلقّوها أســـــوداً ناطحينـــا
وإن نهضوا فصوتهُمُ يدوّي
فتحسب أن صوتهـُمُا المنونـــا https://t.co/bKWYuy2DSQ",1
571056126592204801,"RT @sniper_shadow11: (خطبة امير المؤمنين الخليفة ابو بكر البغدادي)

 http://t.co/lj4RoH1iAc

#الحملة_العالمية_لنصرة_الدولة_الإسلامية http://t.co/vzaTbWz5Wo",1
734487727228518400,RT @a_yasil: @ansaryis3_4 اريد موقع ناشر اذا امكن,1
569480516581388289,"Free Lecture
Topic: FIQH of TAHARAH
T: 2-4pm UK
D: Today 22/2/15
Lecturer: @anjemchoudary
Paltalk: UK Dawah
Watch via:http://t.co/uWgrLOu9o8",1
