Severity,Conversation
1,"A: Did you catch the game last night? B: Yeah, incredible comeback! A: That quarterback really showed up when it mattered. B: Definitely earned that contract extension. A: Can't wait for next season."
1,"A: How's the new job going? B: Pretty good so far, still learning the ropes. A: What's the team like? B: Really supportive, great mentorship program. A: That makes such a difference."
1,"A: Thinking about getting a new laptop for work. B: What kind of work do you do? A: Software development, mostly web apps. B: I'd recommend the new MacBook Pro. A: Thanks, I'll check it out."
1,"A: The weather's been so unpredictable lately. B: Tell me about it, sunny one day, storming the next. A: Climate change is really noticeable now. B: Yeah, my garden doesn't know what to do. A: At least the rain helps with the drought."
1,"A: Just finished that book you recommended. B: The sci-fi one about Mars? A: Yeah, absolutely incredible world-building. B: Right? The author really did their research. A: Makes me excited about real Mars missions."
1,"A: My daughter just started college this fall. B: That's exciting! What's she studying? A: Pre-med, wants to be a pediatrician. B: Challenging but so rewarding. A: She's always been great with kids."
1,"A: Have you tried that new restaurant downtown? B: The Italian place? Went there last week. A: How was it? B: Amazing! Fresh pasta, great service. A: Perfect, I'll make a reservation."
1,"A: Started learning Python in my spare time. B: Nice! Any particular goal in mind? A: Hoping to transition into data analysis. B: Smart move, that field's growing fast. A: Yeah, seeing lots of opportunities."
1,"A: Can't believe summer's almost over. B: I know, feels like it just started. A: Kids go back to school next week. B: You'll get some peace during the day. A: True, but I'll miss having them around."
1,"A: My car broke down this morning. B: Oh no! What happened? A: Alternator gave out, wouldn't start. B: That's expensive to fix, right? A: About $400, but beats buying new."
1,"A: Did you see the meteor shower last night? B: Tried to, but too much city light pollution. A: I drove out to the countryside, amazing show. B: Need to do that next time. A: Definitely worth the drive."
1,"A: Started that yoga class you mentioned. B: How do you like it so far? A: Harder than expected but really relaxing. B: The instructor's great, very patient. A: Yeah, perfect for beginners like me."
1,"A: My brother's wedding is next month. B: That's wonderful! Where's it being held? A: Small ceremony at a vineyard in Napa. B: Sounds beautiful for that time of year. A: We're all really looking forward to it."
1,"A: Just got back from Colorado vacation. B: How was the hiking? A: Incredible! Did part of the Colorado Trail. B: I'm jealous, wanted to do that for years. A: You should go, the views are stunning."
